User_ID,Session_Date,Page_Views,Clicks
U0001,2024-02-11,2,1
U0002,2023-11-10,4,2
U0003,2023-10-06,12,2
U0004,2024-02-21,12,9
U0005,2023-09-23,10,7
U0006,2023-09-09,1,1
U0007,2023-10-26,4,1
U0008,2024-01-22,4,4
U0009,2023-10-27,8,5
U0010,2023-09-02,13,13
U0011,2023-10-11,12,7
U0012,2023-11-27,5,2
U0013,2023-10-26,13,6
U0014,2023-09-27,2,2
U0015,2023-09-25,6,3
U0016,2024-02-02,5,1
U0017,2023-12-27,9,2
U0018,2023-12-06,2,2
U0019,2024-02-08,10,6
U0020,2024-01-26,4,1
U0021,2023-09-12,11,4
U0022,2023-11-14,2,1
U0023,2023-09-26,7,3
U0024,2023-12-26,11,6
U0025,2023-10-12,6,3
U0026,2023-10-24,11,5
U0027,2024-02-27,15,11
U0028,2024-02-13,2,1
U0029,2024-01-15,12,4
U0030,2023-10-12,8,7
U0031,2023-11-09,15,11
U0032,2024-02-24,9,4
U0033,2024-02-23,6,1
U0034,2023-10-29,14,1
U0035,2023-11-20,7,3
U0036,2023-09-17,4,3
U0037,2023-10-25,11,8
U0038,2023-12-11,15,15
U0039,2024-02-12,8,3
U0040,2023-11-07,3,1
U0041,2024-01-22,9,5
U0042,2024-01-28,7,5
U0043,2023-12-12,6,2
U0044,2023-10-06,9,8
U0045,2023-09-24,13,1
U0046,2023-09-29,3,3
U0047,2023-10-11,13,11
U0048,2023-12-18,10,2
U0049,2023-12-08,7,5
U0050,2023-12-29,9,5
U0051,2024-01-20,14,1
U0052,2024-02-22,12,2
U0053,2024-02-22,15,9
U0054,2023-11-08,13,11
U0055,2023-11-27,2,2
U0056,2023-12-21,3,2
U0057,2023-09-01,12,12
U0058,2023-11-07,9,3
U0059,2024-01-08,15,2
U0060,2024-02-08,5,5
U0061,2024-02-03,4,2
U0062,2023-12-05,13,3
U0063,2024-01-17,13,9
U0064,2023-09-01,10,6
U0065,2024-01-04,1,1
U0066,2023-12-02,15,14
U0067,2023-11-18,4,1
U0068,2023-11-01,15,10
U0069,2023-09-21,2,2
U0070,2023-09-18,13,9
U0071,2023-10-03,3,3
U0072,2023-12-31,9,3
U0073,2023-11-07,9,7
U0074,2023-10-25,15,9
U0075,2024-02-24,4,3
U0076,2023-12-12,11,11
U0077,2023-12-05,8,8
U0078,2023-10-01,4,2
U0079,2023-09-17,6,1
U0080,2024-01-29,9,4
U0081,2024-01-29,4,1
U0082,2023-09-19,12,11
U0083,2023-09-16,4,1
U0084,2023-09-09,14,6
U0085,2023-09-19,9,4
U0086,2023-11-11,11,8
U0087,2023-10-25,9,3
U0088,2024-01-25,10,8
U0089,2023-11-02,13,8
U0090,2023-12-14,4,1
U0091,2023-09-25,11,7
U0092,2023-11-30,7,4
U0093,2023-12-29,14,12
U0094,2023-09-14,11,11
U0095,2024-02-13,2,1
U0096,2023-12-13,12,6
U0097,2023-09-28,4,2
U0098,2023-10-19,9,8
U0099,2023-10-06,7,2
U0100,2023-11-11,8,4
U0101,2023-09-20,8,2
U0102,2023-09-13,11,9
U0103,2023-09-04,2,1
U0104,2023-10-13,7,4
U0105,2024-01-02,4,4
U0106,2023-09-16,3,2
U0107,2023-09-01,7,3
U0108,2023-12-26,5,4
U0109,2024-02-26,12,9
U0110,2024-02-17,12,8
U0111,2023-10-10,4,3
U0112,2023-10-26,1,1
U0113,2023-11-20,1,1
U0114,2024-01-28,8,3
U0115,2023-09-15,9,2
U0116,2023-10-18,2,1
U0117,2024-02-20,14,4
U0118,2023-12-13,2,1
U0119,2024-01-27,10,1
U0120,2024-02-06,2,2
U0121,2024-02-16,10,10
U0122,2024-01-12,6,3
U0123,2023-10-23,11,6
U0124,2023-11-01,5,4
U0125,2023-10-04,11,11
U0126,2023-11-16,8,6
U0127,2023-09-19,1,1
U0128,2024-02-07,10,2
U0129,2023-09-19,9,4
U0130,2024-01-08,5,2
U0131,2023-11-29,15,2
U0132,2023-11-02,6,3
U0133,2023-10-11,8,5
U0134,2024-02-04,13,11
U0135,2024-01-14,1,1
U0136,2024-02-17,2,1
U0137,2023-11-07,2,1
U0138,2024-01-20,3,2
U0139,2023-11-12,10,4
U0140,2023-11-27,4,3
U0141,2024-01-08,8,5
U0142,2023-09-14,2,2
U0143,2023-11-10,1,1
U0144,2023-11-25,13,3
U0145,2024-02-11,5,2
U0146,2023-12-23,9,7
U0147,2024-01-22,1,1
U0148,2023-09-20,15,12
U0149,2023-10-09,9,1
U0150,2023-12-04,10,9
U0151,2023-10-08,7,2
U0152,2023-09-11,5,3
U0153,2023-09-11,15,6
U0154,2023-10-24,11,4
U0155,2024-02-18,2,2
U0156,2024-01-22,15,14
U0157,2023-12-14,10,3
U0158,2023-10-31,14,3
U0159,2023-10-16,15,7
U0160,2023-09-07,3,3
U0161,2023-11-25,13,7
U0162,2024-02-19,14,12
U0163,2023-11-03,5,2
U0164,2024-02-27,2,2
U0165,2023-09-10,14,8
U0166,2023-10-27,4,4
U0167,2023-11-29,5,2
U0168,2023-10-28,1,1
U0169,2023-12-12,6,3
U0170,2023-09-18,13,5
U0171,2023-11-29,11,9
U0172,2023-12-12,11,9
U0173,2023-11-24,1,1
U0174,2023-11-06,3,3
U0175,2023-11-07,1,1
U0176,2024-01-31,7,3
U0177,2023-11-20,7,5
U0178,2024-01-09,2,2
U0179,2024-01-26,4,3
U0180,2023-09-12,12,7
U0181,2023-09-01,9,9
U0182,2024-02-23,12,12
U0183,2024-02-19,4,3
U0184,2023-12-20,2,2
U0185,2024-02-07,6,6
U0186,2023-10-02,12,5
U0187,2024-01-08,5,4
U0188,2023-11-23,7,6
U0189,2023-11-15,9,3
U0190,2023-10-20,7,6
U0191,2023-12-07,11,3
U0192,2024-02-05,10,5
U0193,2023-12-13,9,1
U0194,2023-11-17,5,2
U0195,2023-12-20,13,10
U0196,2024-02-03,11,6
U0197,2023-12-29,8,8
U0198,2024-02-20,4,4
U0199,2023-10-14,11,2
U0200,2023-11-12,9,6
U0201,2023-09-24,14,13
U0202,2023-10-31,11,5
U0203,2023-10-28,13,4
U0204,2023-10-08,1,1
U0205,2023-11-02,8,2
U0206,2023-12-26,7,6
U0207,2024-01-26,4,4
U0208,2024-01-05,7,2
U0209,2023-10-08,11,1
U0210,2023-09-28,13,7
U0211,2023-10-27,3,3
U0212,2024-01-11,8,1
U0213,2024-01-21,4,1
U0214,2023-12-26,3,2
U0215,2024-02-18,9,9
U0216,2024-01-31,6,4
U0217,2024-02-04,14,12
U0218,2024-01-08,7,7
U0219,2024-01-19,8,3
U0220,2023-12-31,8,5
U0221,2023-11-03,14,11
U0222,2023-11-10,13,13
U0223,2024-01-12,8,4
U0224,2023-11-10,8,2
U0225,2023-11-13,4,3
U0226,2023-11-25,6,5
U0227,2023-09-21,3,1
U0228,2023-10-30,7,6
U0229,2023-10-10,12,4
U0230,2023-09-17,7,4
U0231,2023-11-24,9,8
U0232,2023-12-16,1,1
U0233,2023-12-17,7,7
U0234,2024-01-28,12,1
U0235,2024-01-26,7,4
U0236,2023-09-02,6,3
U0237,2023-12-09,14,14
U0238,2023-12-17,9,9
U0239,2024-02-02,15,4
U0240,2024-01-03,4,3
U0241,2023-12-21,8,1
U0242,2023-12-09,6,6
U0243,2024-02-21,13,7
U0244,2023-10-13,14,8
U0245,2023-10-03,10,9
U0246,2023-09-07,15,7
U0247,2024-01-30,10,1
U0248,2023-09-22,11,7
U0249,2023-10-05,14,8
U0250,2023-10-17,1,1
U0251,2023-12-07,6,2
U0252,2023-12-26,6,3
U0253,2023-12-07,5,4
U0254,2023-11-04,14,2
U0255,2023-12-30,1,1
U0256,2023-11-29,4,1
U0257,2024-02-14,1,1
U0258,2023-11-03,4,1
U0259,2024-02-07,3,1
U0260,2023-10-03,8,2
U0261,2024-01-23,4,4
U0262,2024-02-27,5,3
U0263,2023-10-13,10,10
U0264,2023-09-30,13,3
U0265,2023-11-19,2,1
U0266,2023-11-19,10,7
U0267,2023-12-11,12,4
U0268,2023-09-20,10,4
U0269,2023-09-27,12,5
U0270,2024-02-23,10,2
U0271,2024-01-23,13,1
U0272,2023-11-28,9,7
U0273,2024-02-17,6,1
U0274,2024-01-08,11,6
U0275,2023-09-04,14,7
U0276,2024-01-04,2,2
U0277,2023-12-02,11,8
U0278,2023-10-10,7,2
U0279,2024-01-12,11,5
U0280,2024-02-05,13,9
U0281,2024-01-02,8,7
U0282,2024-01-30,5,3
U0283,2023-11-02,14,2
U0284,2023-11-11,15,8
U0285,2023-11-02,13,8
U0286,2024-01-24,10,7
U0287,2023-11-26,1,1
U0288,2023-11-23,3,2
U0289,2023-10-25,6,3
